Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,Coefficient,Coefficient_std_error,Coefficient_z-score
MAFbin6,0.09964220045128808,0.13308024612730257,0.017847537505102918,1.335581164652835,0.1791162521930456,0.060339857232858916,4.56082549603627e-08,9.043986815819818e-09,5.042936913683284
MAFbin7,0.0997337933780998,0.12225184602953687,0.021606496035241375,1.225781572010092,0.21664167483662433,0.2946973908924114,4.168927218080788e-08,1.1724934211061909e-08,3.5556081962042967
MAFbin8,0.10022933459751703,0.11825244392129355,0.021907932216253357,1.1798187067304247,0.21857804707800665,0.4103292586321017,3.945647736575272e-08,9.91443339891145e-09,3.979700682651701
MAFbin9,0.10109997066006796,0.12554504872481956,0.03868584239985074,1.24179114895042,0.38264939294518224,0.5268899179478534,4.1291198022898496e-08,1.2921738412313577e-08,3.1954832008942904
MAFbin10,0.09846256407520752,0.1607929659132728,0.04533119393139493,1.6330365497130073,0.4603901427629909,0.1704880811336408,5.678740996489088e-08,2.5234166344968564e-08,2.250417516813022
MAF_Adj_Predicted_Allele_Age,NA,NA,NA,NA,NA,NA,-7.631544859051902e-09,4.4117735707568855e-09,-1.7298133588806623
MAF_Adj_LLD_AFR,NA,NA,NA,NA,NA,NA,-7.5446542590932e-09,3.0009924078917604e-09,-2.5140530976529285
Recomb_Rate_10kb,NA,NA,NA,NA,NA,NA,-3.094681228634671e-09,1.9697922418350643e-09,-1.571069863566757
Nucleotide_Diversity_10kb,NA,NA,NA,NA,NA,NA,-3.509750720144453e-10,1.1103799781035989e-09,-0.3160855553374353
Backgrd_Selection_Stat,NA,NA,NA,NA,NA,NA,-1.5758745068155845e-08,1.4094278191281956e-08,-1.1180952195127982
CpG_Content_50kb,NA,NA,NA,NA,NA,NA,4.669326088850875e-07,6.9287114040404e-07,0.6739097382708147
MAF_Adj_ASMC,NA,NA,NA,NA,NA,NA,-7.1956301407302666e-09,3.5720630214621294e-09,-2.0144185859814216
GTEx_eQTL_MaxCPP,NA,NA,NA,NA,NA,NA,1.9175819626231148e-07,9.16956251740784e-08,2.091246947695384
BLUEPRINT_H3K27acQTL_MaxCPP,NA,NA,NA,NA,NA,NA,-2.1440638016268122e-08,1.08639923033801e-07,-0.19735505528292138
BLUEPRINT_H3K4me1QTL_MaxCPP,NA,NA,NA,NA,NA,NA,5.7453377760866214e-08,1.2454136530432965e-07,0.46131963962714695
